_id,id,text,label,,,,,,
ObjectId(5cda3ae75e75395dc86f2cd8),1.13E+18,@12kararodgers Well unfortunately I don’t know how I have been either. You see my translator has been on an extended vacation for some crazy reason. 😂🤷🏼‍♀�?1,1,,,,,,
ObjectId(5cda3ae75e75395dc86f2cda),1.13E+18,"To celebrate the release of @PomsMovie on May 10, I've just entered this sweepstakes for the chance to win a #PomsWithMoms @PrincessCruises vacation for four in a mini-suite: https://t.co/MQsaT9awJv",-1,,,,,,
ObjectId(5cda3ae75e75395dc86f2cdc),1.13E+18,Vacation slowly approaching 🧐,0,,,,,,
ObjectId(5cda3ae75e75395dc86f2cde),1.13E+18,I need a vacation like NOW cause I contemplate everyday should I quit.,-1,,,,,,
ObjectId(5cda3ae75e75395dc86f2ce0),1.13E+18,Vacation loading...,-1,,,,,,
ObjectId(5cda3ae75e75395dc86f2ce2),1.13E+18,Bachelorette party &amp; vacation = nothing but OT 😭,-1,,,,,,
ObjectId(5cda3ae75e75395dc86f2ce4),1.13E+18,2 more weeks till Vacation!! https://t.co/EqUQWmaTYD,0,,,,,,
ObjectId(5cda3ae75e75395dc86f2ce6),1.13E+18,adult tv shows top adult only hotels school girl custom all inclusive adult vacation packages school girl a how to break ur virginity https://t.co/zsasNJywzg,-1,,,,,,
ObjectId(5cda3ae75e75395dc86f2ce8),1.13E+18,I’ve hit peak vacation shopping mode. I know bc I’m shopping for trendy sandals that are also good for walking but also dancing but also don’t look geriatric and will look cute with my backless dress...does such a thing exist? Let’s find out together.,1,,,,,,
ObjectId(5cda3ae75e75395dc86f2cea),1.13E+18,i should’ve stayed on vacation https://t.co/aNGmXYqAGA,0,,,,,,
ObjectId(5cda3ae75e75395dc86f2cec),1.13E+18,Just got home from work and my throat hurts 😭😭😭😭 its two days until vacation too.,1,,,,,,
ObjectId(5cda3ae75e75395dc86f2cee),1.13E+18,I for sure need another vacation this summer 😿,-1,,,,,,
ObjectId(5cda3ae75e75395dc86f2cf0),1.13E+18,"I am not a hotel room, I am home, I am not the liquor you want, I am the water you need, don’t come here with expectations and try to make a vacation out of me. I’m not the weekend getaway, I am home.",-1,,,,,,
ObjectId(5cda3ae75e75395dc86f2cf2),1.13E+18,"Lamia top white black stripes the chic pair that is suited to daily's casual or vacation alike 〰️

#mondaytosundaylabel 
#mondaytosunday
#newarrivals 
#raya2019mondaytosunday https://t.co/xphqz62dDE",-1,,,,,,
ObjectId(5cda3ae75e75395dc86f2cf4),1.13E+18,3 weeks and 1 day until I’m done with service seminar. 4 weeks until my summer internship. 38 days until my family vacation at the beach. And 12 weeks until I’m done with work..😭🙌🏼 I love summer and my family but I can’t wait to get back to school. ✌�?1,,,,,,,
ObjectId(5cda3ae75e75395dc86f2cf6),1.13E+18,"How many of you went on vacation (to kill the restlessness) and came back feeling just as restless as you were before the vacation? 

Reality hits you hard -- you have to wake up, deal with traffic, and you have to go to work again. Bang! There's that restlessness again.",-1,,,,,,
ObjectId(5cda3ae75e75395dc86f2cf8),1.13E+18,best all inclusive resorts adults only fun adults only all inclusive resorts young teen cam caribbean adults only all inclusive vacation packages game school girl create school girl costume https://t.co/HsviAW79AD,-1,,,,,,
ObjectId(5cda3ae75e75395dc86f2cfb),1.13E+18,i wonder if we'll take a vacation back to korea again soon. i hope so!,1,,,,,,
ObjectId(5cda3ae75e75395dc86f2cfc),1.13E+18,"1/2 So my cousin passed away on his vacation Sunday, and my aunt and uncle flew out to bring him home. Right before they left, the airline said they were going to honor his round trip &amp; take care of everything..",-1,,,,,,
ObjectId(5cda3ae75e75395dc86f2cfe),1.13E+18,Sometimes you Gotta be careful of what you ask from God... i Once Prayed For a Break &amp; A Vacation Next Day I Was Admitted into the Hospital 😓,-1,,,,,,
ObjectId(5cda3ae75e75395dc86f2d00),1.13E+18,Vacation - Janine,1,,,,,,
ObjectId(5cda3ae75e75395dc86f2d02),1.13E+18,I said it before &amp; I’ll say it again - I need a mf vacation,-1,,,,,,
ObjectId(5cda3ae75e75395dc86f2d04),1.13E+18,"@VillimeyS One day someone unexpected may come along or someone you know may decide to do something very nice, a Mexican vacation ❤️if you persevere... https://t.co/iww2EqhokY",-1,,,,,,
ObjectId(5cda3ae85e75395dc86f2d06),1.13E+18,"@hlovesglitter No 😭
But it’s for the best; would probably be frowned upon to Gabe vacation 2 days into my new job.",1,,,,,,
ObjectId(5cda3ae85e75395dc86f2d08),1.13E+18,7 more work days until my 5 day vacation. Praise Ye the Lord 🙌🏾,1,,,,,,
ObjectId(5cda3ae85e75395dc86f2d0a),1.13E+18,I just wanna vacation 🙇🏻‍♂�?,-1,,,,,,
ObjectId(5cda3ae85e75395dc86f2d0c),1.13E+18,In the gym as soon as I get back from vacation. Period,1,,,,,,
ObjectId(5cda3ae85e75395dc86f2d0e),1.13E+18,Here is what vindictive Rajiv Gandhi did after Indian Express covered the story of his INS Viraat vacation https://t.co/ipEloKg9OA via @opindia_com,-1,,,,,,
ObjectId(5cda3ae85e75395dc86f2d10),1.13E+18,do you ever just want to take a two week vacation from yr entire personality,0,,,,,,
ObjectId(5cda3ae85e75395dc86f2d12),1.13E+18,"OMG this summer vacation season will be lit bcz of @HotstarPremium. They're bringing @euphoriaHBO @OurCartoonPres @SHOCityOnAHill new Deadwood Movie along with the US I'm so grateful tysm hotstar. 
But kindly check your download option. It has downloaded in poor quality everytime",-1,,,,,,
ObjectId(5cda3ae85e75395dc86f2d14),1.13E+18,I deserve a vacation.,0,,,,,,
ObjectId(5cda3ae85e75395dc86f2d16),1.13E+18,I just want to escape and go on a romantic vacation with my significant other,0,,,,,,
ObjectId(5cda3ae85e75395dc86f2d18),1.13E+18,"@ImAngelaPangela I've seen Sandi Patti, Steve Green, Truth, Twila Paris, 4Him, DC Talk.
A few years back we visited a PCA on vacation, were talking to a man &amp; his wife in front of us before church. Figured out later it was Steve Green. It didn't click at first that's who it was.",1,,,,,,
ObjectId(5cda3ae85e75395dc86f2d1a),1.13E+18,I've had negative energy for art this week due to work and it feels terrible...really looking forward to vacation next week,0,,,,,,
ObjectId(5cda3ae85e75395dc86f2d1c),1.13E+18,"Went to the gym today even tho I’m supposed to be resting this vacation. I’ve been feeling better physically lately, and I haven’t had another anxiety attack in about a week or 2 now. Hope this continues.",1,,,,,,
ObjectId(5cda3ae85e75395dc86f2d1e),1.13E+18,"Floral Bag, Large Project Tote, Vacation Padded Bag, Large Zippered Pouch, Crochet Project Sack, Cosmetic Bag, Aqua, Blue, Pink Green, White https://t.co/UUXpPyY1hH #Etsy #ImagineQuiltsAndMore #ModernFlowerBag https://t.co/n2ab1yM6pq",-1,,,,,,
ObjectId(5cda3ae85e75395dc86f2d20),1.13E+18,"@missingwords We picked the wrong coast for our June vacation (going to WDW), but I am already planning our Disneyland trip for next year! Can’t wait to build a lightsaber and fly the Falcon and get a holocron and eat space meat and drink at the Cantina and battle stormtroopers and�?",1,,,,,,
ObjectId(5cda3ae85e75395dc86f2d22),1.13E+18,This vacation makes me want a BAEcation now 😅🌴🌊,1,,,,,,
ObjectId(5cda3ae85e75395dc86f2d26),1.13E+18,@BluePillBlack Oh ok cool I’ll check out Drogas Wave I’ve been getting back into listening to hip hop again I needed a long vacation from it lol,1,,,,,,
ObjectId(5cda3ae85e75395dc86f2d28),1.13E+18,"been in a little funk but today I went back to my cycle class after a week of being on vacation and ya girl ranked 8/46 

next goal: top 3 https://t.co/teeQrfI4TZ",1,,,,,,
ObjectId(5cda3ae85e75395dc86f2d2a),1.13E+18,Almost time for a vacation with my bunnolf. Anyone who would like to hang out at BLFC poke me on Telegram :),0,,,,,,
ObjectId(5cda3ae85e75395dc86f2d2d),1.13E+18,I can’t wait for the end of the month so I can get my pto and I can decide wether i’ll go on vacation or not,-1,,,,,,
ObjectId(5cda3ae85e75395dc86f2d2f),1.13E+18,I need a vacation,-1,,,,,,
ObjectId(5cda3ae85e75395dc86f2d32),1.13E+18,"Soon I'mma be off on Vacation, one more exam baby",0,,,,,,
ObjectId(5cda3ae85e75395dc86f2d34),1.13E+18,y’all i graduate in december. where should i treat myself before i gotta start grad school? item or vacation 🧐🧐,-1,,,,,,
ObjectId(5cda3ae85e75395dc86f2d36),1.13E+18,"Get away and don't come back until you found what you need.
#jaasymone #vacation #poetry https://t.co/oCYRrQAJVO",-1,,,,,,
ObjectId(5cda3ae85e75395dc86f2d39),1.13E+18,"I get invited a lot for a vacation in the US..kanang random lang mag offer free accomodation and food..but pwede airfare pod? 🤣 ..next time, akoa na jud ni skyan ba..🤣",1,,,,,,
ObjectId(5cda3ae85e75395dc86f2d3b),1.13E+18,On vacation til the 26th and I still get paid :))))) adulting ain’t so bad,1,,,,,,
ObjectId(5cda3ae85e75395dc86f2d3c),1.13E+18,Walk in from vacation and my dad....bought...a......Range Rover. https://t.co/Ew2FuCtbDJ,1,,,,,,
ObjectId(5cda3ae85e75395dc86f2d3e),1.13E+18,"@WvuAlphaSoldier @treyford I mean mine is more like gym bag, fancy client visit, startup client visit, grocery schlepping, vacation trip.... 😆",-1,,,,,,
ObjectId(5cda3ae85e75395dc86f2d40),1.13E+18,This B.C. woman disputed the credit card charge for an all-inclusive vacation in Cuba. Then she and her family went on the trip anyway. | via @bethanylindsay https://t.co/u5CfQIIEkh,1,,,,,,
ObjectId(5cda3ae85e75395dc86f2d43),1.13E+18,Planning my upcoming beach vacation at South Seas Island Resort. For friends thinking about their own getaway:... https://t.co/rvAjB7yCLO https://t.co/GG8EGzFFIm,0,,,,,,
ObjectId(5cda3ae85e75395dc86f2d45),1.13E+18,All this “friends�?with location wedding smh �? I already planned my own vacation now I gotta plan your wedding too 🤦🏾‍♂�?0,,,,,,,
ObjectId(5cda3ae85e75395dc86f2d47),1.13E+18,34. Dream vacation? - I would love to be able to do some trip through europe or asia. a solid mix of cultures new and old,-1,,,,,,
ObjectId(5cda3ae85e75395dc86f2d49),1.13E+18,adulting is not even being excited for vacation because of all of the work that’s going to be waiting for your return.,1,,,,,,
ObjectId(5cda3ae85e75395dc86f2d4b),1.13E+18,Thank you shannonparson for the T-shirts! My husband loved them and so do I. #colemans #vacation #bestfriends #married #blacklove https://t.co/0OCQYcqJ2x,-1,,,,,,
ObjectId(5cda3ae85e75395dc86f2d4d),1.13E+18,virginity first time losing virginity young teen in adult vacation cancun what does i lost my virginity mean all about losing your virginity https://t.co/AY4Hu6rhPQ,1,,,,,,
ObjectId(5cda3ae85e75395dc86f2d4f),1.13E+18,I’m not even gonna pretend life isn’t kicking my ass lately.... need a vacation ASAP,-1,,,,,,
ObjectId(5cda3ae85e75395dc86f2d51),1.13E+18,"Travel #news: Armed terrorists storm five-star hotel in Pakistan, one person killed in attack https://t.co/TBAwyrojxv #travel #vacation #trips #cruise #cruises #holiday #hotels #resorts #flight #world #places #flights #outdoor",-1,,,,,,
ObjectId(5cda3ae85e75395dc86f2d53),1.13E+18,West Coast time is so different than east cost time. Another reason I only ever want to vacation to the west coast. This shit ain’t for me.,0,,,,,,
ObjectId(5cda3ae85e75395dc86f2d55),1.13E+18,"8 Reasons Why Pigeon Forge, TN is Perfect for a Family Vacation https://t.co/IAQ2CLChHg via @hipmamasplace",-1,,,,,,
ObjectId(5cda3ae85e75395dc86f2d57),1.13E+18,Check out what I just added to my closet on Poshmark: Neon Lime Green Vacation Resort Style Tunic Shirt. https://t.co/N5905fiDZB via @poshmarkapp #shopmycloset,-1,,,,,,
ObjectId(5cda3ae85e75395dc86f2d59),1.13E+18,"Tomorrow is Vacation Shirt Day, and I have a cute shirt with flamingos on it, but my outfit won't be super exciting. I'm excited for Favorite Decade Day though! Any guesses what decade I picked? It's a specific style from a specific decade.",-1,,,,,,
ObjectId(5cda3ae85e75395dc86f2d5c),1.13E+18,I’ll be working all summer so I can take a vacation during fall! God willing NYC’s calling my name https://t.co/6Y6L8fhYS9,0,,,,,,
ObjectId(5cda3ae85e75395dc86f2d5e),1.13E+18,Any tips on preventing getting sick before a vacation,-1,,,,,,
ObjectId(5cda3ae85e75395dc86f2d60),1.13E+18,I love how Kakashi faked a mission so him and Gai could have a 20 day vacation. This week’s Boruto episode is so cute and also Mirai is so cuuuute.,-1,,,,,,
ObjectId(5cda3ae85e75395dc86f2d62),1.13E+18,The highlight of retirement so far is when we had our first family visitors. We loved showing them around! #vacation https://t.co/tjdtiyBj4T,-1,,,,,,
ObjectId(5cda3ae85e75395dc86f2d64),1.13E+18,where can i read this book that she’s been reading? i’d love to read it this vacation,0,,,,,,
ObjectId(5cda3ae85e75395dc86f2d66),1.13E+18,Ready to plan the perfect summer vacation? https://t.co/YiDzYEBcKa,-1,,,,,,
ObjectId(5cda3ae85e75395dc86f2d68),1.13E+18,Ever heard of #NowCast? How does it differ from a #Forecast? Learn here - https://t.co/eCmT5s2QcM #stormchasing #AdventureTravel #vacation,-1,,,,,,
ObjectId(5cda3ae85e75395dc86f2d6a),1.13E+18,I did not plan this month well lol ive got my annual tomorrow...my period starts friday and next Thursday the 23rd im going on vacation....while still technically on my period but at the tail end of it 😂 i failed,0,,,,,,
ObjectId(5cda3ae85e75395dc86f2d6c),1.13E+18,@_burrrrr @blakegrifffiin @_daniilovee Forgot thanks for letting me stay at one of your vacation houses too,-1,,,,,,
ObjectId(5cda3ae85e75395dc86f2d6e),1.13E+18,I don’t have any vacation days but I’m still going on vacation next month! 💦,0,,,,,,
ObjectId(5cda3ae85e75395dc86f2d70),1.13E+18,cheap adult only resorts my school girl free gay personals adult all inclusive vacation deals what classes as losing your virginity webdate https://t.co/lSp0c5Y3ES,-1,,,,,,
ObjectId(5cda3ae85e75395dc86f2d72),1.13E+18,@Jenna_Marbles left for a week to go on vacation and youtube crumbled without her.,1,,,,,,
ObjectId(5cda3ae85e75395dc86f2d73),1.13E+18,i got killers on vacation. in other words they in jail or probation https://t.co/ET1iy5df3r,1,,,,,,
ObjectId(5cda3ae85e75395dc86f2d74),1.13E+18,I wanna go on a vacation with my baby,-1,,,,,,
ObjectId(5cda3ae85e75395dc86f2d75),1.13E+18,"My vacation ends tomorrow but I miss my coworkers so it’s ok :,)",1,,,,,,
ObjectId(5cda3ae85e75395dc86f2d76),1.13E+18,"Teacher Summer Vacation Goodbye Lesson Plans Hello
https://t.co/QCOkncK7pq https://t.co/iJmcmvxdkP",-1,,,,,,
ObjectId(5cda3aea5e75395dc86f2d77),1.13E+18,"@Canada64617821 Now I understand why the bird brain PMJT doesn’t attend very many question periods . Bull shit takes lots of time to prepare &amp; potential “gotcha questions�?easier to foretell &amp; prepare to answer, from a plane ride &amp; vacation location 1000’s of legitimate “carbon�?miles away!!...",-1,,,,,,
ObjectId(5cda3aea5e75395dc86f2d78),1.13E+18,"Do you love to cruise? Learn why we think cruising is one of the most economical vacations ever! #cruises #cruiseships #vacation

https://t.co/7M57nprMHf https://t.co/MiJ8oSScPm",-1,,,,,,
ObjectId(5cda3aea5e75395dc86f2d79),1.13E+18,"She will be fixed when I come back from vacation, I promise lol",1,,,,,,
ObjectId(5cda3aea5e75395dc86f2d7a),1.13E+18,this post trip/vacation depression is so fucking real every time.,1,,,,,,
ObjectId(5cda3aea5e75395dc86f2d7b),1.13E+18,It’s always “wyd�?and never “i’m taking you on vacation.�?-1,,,,,,,
ObjectId(5cda3aea5e75395dc86f2d7c),1.13E+18,Tomorrow is my last day of vacation and I'll be kicking around the house most of the day. Dare I try streaming something?,1,,,,,,
ObjectId(5cda3aea5e75395dc86f2d7d),1.13E+18,TAKE YOUR MEDICATION ROMAN         TAKE A SHORT VACATION ROMAN,1,,,,,,
ObjectId(5cda3aea5e75395dc86f2d7e),1.13E+18,I usually have nova sleep in bed by 9:30 but since I been on vacation her pattern is messed &amp; she thinks she’s about to be up all night no mammm,1,,,,,,
ObjectId(5cda3aea5e75395dc86f2d7f),1.13E+18,I need another @DierksBentley show in my life! I hate that I’m going to miss it this yr in Dallas 😫😭 but a Disney vacation isn’t cheap 🤪😢,-1,,,,,,
ObjectId(5cda3aea5e75395dc86f2d80),1.13E+18,"Me : goes on weeklong vacation. 
Me the day I get back: https://t.co/9sFgSuRcCv",1,,,,,,
ObjectId(5cda3aea5e75395dc86f2d81),1.13E+18,@BabiOlurin we need to get that vacation 😃. I need a break,-1,,,,,,
ObjectId(5cda3aea5e75395dc86f2d82),1.13E+18,"After 3 days, solid food �?Tastebuds on a vacation, body temperature was on an all time high, if someone said Dracarys I would have breath fire 😁 https://t.co/a9aYEpUATm",1,,,,,,
ObjectId(5cda3aea5e75395dc86f2d83),1.13E+18,Mama needs a vacation 😕,-1,,,,,,
ObjectId(5cda3aea5e75395dc86f2d84),1.13E+18,I love this vacation,1,,,,,,
ObjectId(5cda3aea5e75395dc86f2d85),1.13E+18,I'm leaving for mini vacation on Wednesday.  Do I have anything packed? No. Did I braid my hair to install these twists? No. Am I remotely ready? No. Am I binging Netflix and drinking Vodka? Yes. https://t.co/YNTmJwNN5o,0,,,,,,
ObjectId(5cda3aea5e75395dc86f2d86),1.13E+18,"Less than two weeks to go and I'm two weeks behind in #anatomy. Where did the time go?! While I'm ready for a vacation, I'm really going to miss these kids!😊 They are #whyiteach! Give them #wings and they will #fly! #goingplaces #teacherlife",0,,,,,,
ObjectId(5cda3aea5e75395dc86f2d87),1.13E+18,"I've been enjoying my vacation, but will not be enjoying tomorrow because I have to go to the DMV! Ugh�?,1
ObjectId(5cda3aea5e75395dc86f2d88),1128142539222130688,If my mind isn't clouded with school it is always something else 😭 I need a stress free vacation,-1
ObjectId(5cda3aea5e75395dc86f2d89),1128142522553896961,Listening to my parents plan our vacation reminds me why I didn’t want to go in the first place,0
ObjectId(5cda3aea5e75395dc86f2d8a),1128142499346882561,I need to chill out for a minute again because I'm starting to get anxiety when I drink again. Hmm I need a long vacation I should talk my auntie into letting me go to las Vegas with her next month or at least take me to Arizona with her next week.,0
ObjectId(5cda3aea5e75395dc86f2d8b),1128142494921895936,i’m about to plan me a vacation,0
ObjectId(5cda3aea5e75395dc86f2d8c),1128142490765127680,@unsafespace @claren @ksemamajama Wish I could be there but I'm on vacation down in your guys' parallel of the continent (AZ)! Look forward to the replay.,0
ObjectId(5cda3aea5e75395dc86f2d8d),1128142480434769923,Vacation me pls,-1
ObjectId(5cda3aea5e75395dc86f2d8e),1128142460666949632,Hey", @jimmykimmel you get to much vacation time. I love your show," but damn. I think you have more time off than on!""",-1,,,,
ObjectId(5cda3aea5e75395dc86f2d8f),1.13E+18,"reminder: no streams this week as i'm off on a vacation. Back at it on may 20th!

https://t.co/AjMx6aemA1",-1,,,,,,
ObjectId(5cda3aea5e75395dc86f2d90),1.13E+18,Cruise #planner worksheet &amp; #vacation #itinerary #scheduler for 21-day #cruise will keep you floating in style! https://t.co/WDJPIgrRLW,-1,,,,,,
ObjectId(5cda3aea5e75395dc86f2d91),1.13E+18,@quasicoherence I would be down af but I'm flying out Saturday for a family vacation :(,0,,,,,,
ObjectId(5cda3aea5e75395dc86f2d92),1.13E+18,"@Robertamnesia Sad. Didn't take the float plane tour myself in Ketchikan. You're on vacation and don't realize how insanely dangerous some things really are, like small planes. Sigh.",1,,,,,,
ObjectId(5cda3aea5e75395dc86f2d93),1.13E+18,I’m officially on vacation mode #11moredaysoff https://t.co/gw6EN5uBh2,1,,,,,,
ObjectId(5cda3aea5e75395dc86f2d94),1.13E+18,I need a vacation ASAP,-1,,,,,,
ObjectId(5cda3aea5e75395dc86f2d95),1.13E+18,Only my tail light would go out on vacation lol,-1,,,,,,
ObjectId(5cda3aea5e75395dc86f2d96),1.13E+18,I need another vacation with my boyfriend.,1,,,,,,
ObjectId(5cda3aea5e75395dc86f2d97),1.13E+18,@VernDiesal @TheSlimAlmighty @TheLegendFresh_ Now Fresh got the $65 Zone stinking up the cruise ship actin like da baby on vacation,-1,,,,,,
ObjectId(5cda3aea5e75395dc86f2d98),1.13E+18,A lack of having a vacation is really starting show. I need a damn break.,-1,,,,,,
ObjectId(5cda3aea5e75395dc86f2d99),1.13E+18,"To celebrate the release of @PomsMovie on May 10, I've just entered this sweepstakes for the chance to win a #PomsWithMoms @PrincessCruises vacation for four in a mini-suite: https://t.co/LihFtmYe0G",-1,,,,,,
ObjectId(5cda3aea5e75395dc86f2d9a),1.13E+18,"Those who are thinking about the coming June, here @RachelRambach a professional music therapist shared an article only for you. https://t.co/JWUN8ILQkm #June #Vacation Let's explore",-1,,,,,,
ObjectId(5cda3aea5e75395dc86f2d9b),1.13E+18,"@itsginnydi If it was with your blue hair, I could almost imagine she’s just come back from Vox Machina’s summer vacation.",1,,,,,,
ObjectId(5cda3aea5e75395dc86f2d9c),1.13E+18,Three weeks until vacation I am going to live at the gym https://t.co/bNqXRKsEly,0,,,,,,
ObjectId(5cda3aea5e75395dc86f2d9d),1.13E+18,"Panama City Beach, FL United States - Emerald Isle 1409 | Blue Marlin Vacation Rentals https://t.co/46MKJKpEsk",-1,,,,,,
ObjectId(5cda3aea5e75395dc86f2d9e),1.13E+18,This new travel trend leaves the vacation planning to someone... https://t.co/fiAqiqyCyc,-1,,,,,,
ObjectId(5cda3aea5e75395dc86f2d9f),1.13E+18,Decided to take another vacation day tomorrow. So I won’t be in until Wednesday. I love you very much. 💘 https://t.co/gEvDYJWqpw,1,,,,,,
ObjectId(5cda3aea5e75395dc86f2da0),1.13E+18,"Work be having a bitch so tired , I’m ready for a vacation seriously",0,,,,,,
ObjectId(5cda3aea5e75395dc86f2da1),1.13E+18,"Panama City Beach, FL United States - Emerald Isle 1410 | Blue Marlin Vacation Rentals https://t.co/GLmc7wNR8I",-1,,,,,,
ObjectId(5cda3aea5e75395dc86f2da2),1.13E+18,So I figure I’m not going to pull this tooth until after my vacation so there’s a huge chance I’m going to develop a stomach ulcer 😂,1,,,,,,
ObjectId(5cda3aea5e75395dc86f2da3),1.13E+18,"2 more days of saving lives and then I am on vacation!!! 🥳 🥳 Alright, you may all return to your regularly scheduled programs",0,,,,,,
ObjectId(5cda3aea5e75395dc86f2da4),1.13E+18,Trying to get back in to the swing of things after vacation sucks.,1,,,,,,
ObjectId(5cda3aea5e75395dc86f2da5),1.13E+18,I’m on vacation now bitchesssss lmao https://t.co/JKXuwvIgYA,1,,,,,,
ObjectId(5cda3aea5e75395dc86f2da6),1.13E+18,"@discoliz I am so sorry to hear this! Sending healthy vibes your way! I do hope you feel better very soon, so that you can get back to enjoying your vacation! 🙏🏻😊",-1,,,,,,
ObjectId(5cda3aea5e75395dc86f2da7),1.13E+18,#Modern #girl's way to #plan the next #vacation - full #color planner for lots of #summer #fun! https://t.co/noTzp0jCI0,-1,,,,,,
ObjectId(5cda3aea5e75395dc86f2da8),1.13E+18,"@RedHoodedVig ""Cheek.""
  Lips. Vacation. Or off limits.",-1,,,,,,
ObjectId(5cda3aea5e75395dc86f2da9),1.13E+18,"#vacation - Amazing spots to visit in Kochi, India https://t.co/PuwbWICBlm",1,,,,,,
ObjectId(5cda3aea5e75395dc86f2daa),1.13E+18,"@AmericanAir- are you always terrible? Flight delay on the way to vacation caused me to miss my connection, and now on the return, my flight out of Miami has been delayed 5 hours. Wait time to speak with a rep is 43 min on the phone, and I am 50 deep in line. Unacceptable",1,,,,,,
ObjectId(5cda3aea5e75395dc86f2dab),1.13E+18,I need a summer vacation. I’m tryna fade a cruise somewhere,0,,,,,,
ObjectId(5cda3aea5e75395dc86f2dac),1.13E+18,"'Cause it seems like everyone and their mother wants to email me while I'm at a concert or out of state, I added an automatic vacation responder to my email for this week-long trip. Ya girl going to see @Stray_Kids and @BTS_twt!! https://t.co/zsQNqkPM4S",1,,,,,,
ObjectId(5cda3aea5e75395dc86f2dad),1.13E+18,"in need of a short vacation, a little break, a Roman holiday if you will",-1,,,,,,
ObjectId(5cda3aea5e75395dc86f2dae),1.13E+18,Spent the first half of my shift getting caught up on things that happened while I was on vacation. Still ended the day with over 20000 steps.,1,,,,,,
ObjectId(5cda3aea5e75395dc86f2daf),1.13E+18,Everyone on some type of vacation. Must be nice,1,,,,,,
ObjectId(5cda3aea5e75395dc86f2db0),1.13E+18,Da Nang vacation packages for exciting backpacking tourism 2019 https://t.co/f9vAm4Sg3l,-1,,,,,,
ObjectId(5cda3aea5e75395dc86f2db1),1.13E+18,@brokemogul @SunshineDBaby @CraigSJ might take a few vacation days to crush some adderall and watch Ken Burns 'The War',-1,,,,,,
ObjectId(5cda3aea5e75395dc86f2db2),1.13E+18,I need a vacation &amp; a hiatus.,-1,,,,,,
ObjectId(5cda3aea5e75395dc86f2db3),1.13E+18,"Welcome to your vacation at home. Wildlife abound, close to amenities, nearby light rail. Get ready for the sweetlife in #federalway #seattlewaterfront #pugetsoundhouse�?https://t.co/MLXmKfuu8X",0,,,,,,
ObjectId(5cda3aea5e75395dc86f2db4),1.13E+18,"@BillGates I got plenty of worth without you or millions. Especially if you fuck this up. You claim to calculate well. Well make sure these guys and yourself realise I'm not trying to booby trap your asses. And its more important than that, but a discussion and a vacation.",-1,,,,,,
ObjectId(5cda3aea5e75395dc86f2db5),1.13E+18,"@yoonminshooked if i didn't buy the seoul dvd already i would def the europe one T^T also if i wasn't going on vacation in like, 2.5 weeks lol",1,,,,,,
ObjectId(5cda3aea5e75395dc86f2db6),1.13E+18,"Dr. Eggman's vacation spot when he needs to get away from it all.
#SmashBros #NintendoSwitch https://t.co/GXY06jMGfb",-1,,,,,,
